"","GSM239371.CEL.gz","GSM239487.CEL.gz","GSM239489.CEL.gz","GSM239492.CEL.gz","GSM239497.CEL.gz","GSM239520.CEL.gz","GSM240427.CEL.gz"
"212615_at",279.267575458666,84.9279744359005,158.118596321684,729.270649731679,231.555267163761,122.454374471253,128.813715586343
"212616_at",900.098571917632,367.414385365702,313.346528562237,1455.53703140296,584.143196476798,767.183980815335,804.411209406827
"212617_at",202.143165296808,67.1978408640152,242.220468044439,271.16389792572,91.80472341931,100.758826418794,264.463127242829
"212618_at",35.0150257482702,20.8060519335394,53.8802838400176,76.2023037083136,49.226114965386,33.1707293397126,56.3167588658506
"212619_at",123.737515324539,106.245899588059,192.730717707487,306.495403253664,232.60031636371,262.158264883065,417.093811126267
"212620_at",582.371422084904,132.043099309362,83.4793721090032,471.118379053982,77.8964421414702,275.61682948624,411.885404937762
"212621_at",338.594938626882,292.144538841427,298.249022269329,535.057392474398,516.533107623308,574.198450281878,624.545216458977
"212622_at",643.583739327579,570.496455993586,591.468973871562,509.311372697067,516.916976614639,529.15611918514,845.756876721039
"212623_at",310.852309433689,330.038160057869,450.450552621461,287.020034266288,421.643954691089,423.276513495381,717.390386836021
"212624_s_at",38.3346202045513,17.5637873915176,65.0404129876761,43.9077052497,44.8499209088818,23.4098572382459,32.4876700775342
"212625_at",718.670984331164,651.752690459982,820.187799529173,667.894769854687,969.937254686155,1132.67482484583,567.789775342347
"212626_x_at",6217.3743784123,6008.85030686532,3719.13010318515,4373.36884759302,3483.75869103233,4324.26652105083,5441.08749810244
"212627_s_at",767.403012554867,844.999749209823,477.725440738232,383.778437959682,490.05491650432,690.959866185856,505.818565351579
"212628_at",487.791718471265,126.003668441506,352.222039600438,548.84619519861,402.211997958562,199.672525811381,303.2752316522
"212629_s_at",1502.22443007457,259.209634717194,343.365602904099,798.231068417822,526.287336206978,289.208914782201,447.206105560619
"212630_at",99.1733937409218,446.905348862563,289.456104137645,133.091712714646,217.118074761172,543.473165702859,98.0417513464178
"212631_at",308.574073623644,452.981525128257,515.209905044832,252.731068224663,649.760635376258,465.414339604326,790.136778656786
"212632_at",407.783634169229,440.08009105591,528.566418236578,624.494253046433,652.106505400819,604.900213495135,713.376941768495
"212633_at",261.917724253172,354.527106353226,160.071585937031,420.25597547277,258.310540032531,434.211646067846,136.868603226088
"212634_at",330.523436685993,132.387739441736,128.720961428821,335.346453008703,171.018593349524,197.03594617279,176.718641708685
"212635_at",591.856424675419,946.053770770952,332.601615717871,1047.02574337442,467.114831219612,1068.0800428649,448.489124493168
"212636_at",139.120637795472,329.593639909959,298.844461293633,207.537883105919,195.262772357176,187.976456005183,52.506029139185
"212637_s_at",66.1221989999403,120.87345927298,48.157056872746,95.493915118138,16.4316588878305,130.887662705242,28.4113409805919
