"","GSM239323.CEL.gz","GSM239324.CEL.gz","GSM239326.CEL.gz","GSM239328.CEL.gz","GSM239329.CEL.gz","GSM239331.CEL.gz","GSM239332.CEL.gz","GSM239333.CEL.gz","GSM239334.CEL.gz","GSM239335.CEL.gz"
"211695_x_at",212.287582556487,154.131892156477,133.209790063596,105.295323449856,130.173233800685,174.393703081174,95.1315718530267,171.712017743084,221.231862915721,134.704120841646
"211696_x_at",75064.012118019,27631.7106430014,40327.8010908819,37392.7686063074,55311.6825965403,59159.6713709527,52232.3631133321,59315.6657134736,48847.851270297,35612.368388259
"211697_x_at",1227.85644544154,282.290177340767,676.206308336894,757.434201653432,891.509226968053,756.428064476706,837.748311809048,352.502033293389,681.818360937819,489.530695402539
"211698_at",600.862386752641,691.303558388958,484.166908142333,465.534348807607,586.834730468267,372.870471669634,396.571988979066,232.285599634276,459.593468822304,463.401701274621
"211699_x_at",52164.0687281204,33649.8546542059,40546.120984271,33118.1407119366,71267.0961458637,61961.8465043977,53385.8138662208,55571.7623460672,52206.4189106811,36844.3628361196
"211700_s_at",13.4138112401136,14.409331677894,11.050234593665,8.03081237264531,16.8625820476459,9.7351074458911,10.9147490133946,9.81811237594019,11.7646348563847,11.4495488868379
"211701_s_at",250.338203790473,104.266460109189,48.1770823940407,111.113445787064,109.786172790712,161.235819226196,18.1514331064702,140.740901328236,150.961576809514,140.303285794252
"211702_s_at",185.415316037631,294.767619259687,219.267122430618,237.412628064058,394.738139446934,242.367406766773,316.336913969384,245.189341355024,322.007817133137,205.521142916287
"211703_s_at",534.777793624525,659.317018093161,587.245094785933,778.014281639,432.540877907204,436.25367156454,431.555099168532,389.357729288644,482.847997131445,763.674294091154
"211704_s_at",150.15049461958,102.118382473398,125.198944092561,125.160812234622,152.025854117364,131.754919490697,140.225655145642,103.980618206476,171.046660245348,181.20765199232
"211705_s_at",9.35825365661301,5.32937138330041,7.5462890437727,11.3551443719823,11.6619991657092,10.6030719523012,9.89126917741484,19.8196823890813,11.2527517283848,8.74547963651142
"211706_s_at",9.737926900871,16.1343463924033,19.7417827323227,9.10347035672792,14.8914114312664,7.76042900282533,11.1821831525831,9.92037747335214,12.7450360849891,18.9924655744511
"211707_s_at",762.773615532012,659.74097687224,556.032363286568,565.632852508243,716.288898968686,545.10804205123,669.059708444366,582.899290066814,510.901714886275,533.749760800495
"211708_s_at",28.4696215971939,23.8023919281672,18.5644726232023,24.0869658983438,29.137869756322,40.2766386922634,27.6191965388077,30.0392308358236,42.3036645804912,37.0645580086973
"211709_s_at",873.978416309085,762.388321538347,664.136860244879,818.078998029431,1423.861544816,1184.8576951972,858.844417861308,1072.57553116858,563.519073362507,707.728182779645
"211710_x_at",30285.8503686498,15911.3355253884,21537.4314605599,18418.2788560222,27337.8518007119,25526.9600834598,26303.5902913277,28348.9412339105,24299.2489606746,18203.4673991837
"211711_s_at",783.482710615396,634.074946424661,520.961803460711,669.520258863031,527.082871616868,436.26135291346,445.301151857098,364.407574326231,584.213163129223,561.567292363623
"211712_s_at",208.895077251739,103.852289785052,104.813553370714,121.213236467946,111.217513245939,98.470952382057,85.1152883024848,178.351271811057,90.3502548899977,157.187946983501
"211713_x_at",486.8694859146,807.912687130794,628.008650547737,509.105898158101,535.60314988116,657.906213695883,347.526551789893,572.576180155961,548.830145762229,729.03673782176
"211714_x_at",10297.8538529725,6983.71301344802,5699.42638141105,7008.7804187693,11060.3091506558,11274.90892105,10042.5217787635,9359.65442765075,9165.12958693627,7893.23138866894
"211715_s_at",437.346078583738,218.874983042055,268.463101006963,263.105902397553,284.119991933903,290.49642870944,229.511648512633,436.661122897807,328.412040956471,268.661180258999
"211716_x_at",1442.06802575344,2082.24462610741,1640.08732505581,2000.56070878049,2631.62795731656,2865.76589245096,2875.91555317468,3003.0783328098,2621.68189946579,2072.83519320707
"211717_at",58.6333682888367,65.4385144658771,122.662574711122,121.903362411711,196.652970874028,149.943530714859,353.845129043745,310.590989538368,213.984802411413,187.781477022192
"211718_at",136.743539245597,41.600365140982,12.4611746527347,59.9352231674282,72.1482364888783,120.33875525225,23.3107663188824,90.1234778850728,78.5981692884214,47.7505602566602
"211719_x_at",13.4752319145681,11.2477242052058,7.41942821148856,7.44086816128706,15.6569539026862,15.4070350319298,13.9591471811732,17.6112428644362,26.9403776469022,20.2977838104185
"211720_x_at",41714.4586064019,22981.3115131661,30642.684496583,27195.9670287798,33747.239777614,38830.8691677497,36269.134480111,39302.1719904518,33796.4082655127,26107.0783934925
"211721_s_at",98.8369362022348,163.918290274093,167.629584682225,189.908734137272,155.741052553976,179.773505366895,157.826056459888,227.514682258767,188.688471826041,158.56049064974
"211722_s_at",124.432333381294,85.8755625360497,57.8372878990929,14.1393251598243,75.9114256091895,40.8881450273139,83.2008362350146,62.196246294194,57.0625237578261,10.7057222150663
"211724_x_at",562.919630571191,474.708488381861,567.685680469812,608.068293764281,579.420084739521,566.736760576826,780.881095283491,700.814766536119,569.72601452812,454.96935933655
"211725_s_at",1516.74607652295,1181.56030676311,1088.85901488018,971.457373560705,707.724655175813,1082.52965537404,1243.41030019453,795.350273510071,1289.12870175421,1238.02171316242
"211726_s_at",263.211425904342,202.235818964871,207.593715086306,178.141172310757,233.829525564822,210.626245660069,262.108782695083,254.975102726867,247.363839105646,248.951601035385
"211727_s_at",1108.73926963958,1563.91127758156,1323.45362965816,1127.41779951479,1084.76685535647,907.601579364135,893.147495274908,654.113442291663,1251.81576911285,1169.49324858262
"211728_s_at",50.1058513672756,27.6451437473106,123.519799393297,45.9293591287169,56.31018121755,85.7174493927981,57.054079685505,213.725476604461,79.5637623824612,67.3563780236338
"211729_x_at",1884.89563212219,2145.33577280396,1781.09353664231,2108.31106262349,1955.48152957424,1955.2297838222,1976.64077813423,1605.11356203995,1675.88142981232,1880.73559841697
"211730_s_at",2178.31950565964,2593.17605698552,2688.05684890535,2570.08260697845,3042.20712824168,2803.46308010467,2963.58933799397,2517.28132721611,2731.4426926037,1665.39068536623
"211731_x_at",230.67070544065,172.153890687697,199.515122589991,103.724673114849,116.117658167533,172.452834781795,122.733982531907,61.7038399640886,124.80200557587,101.309339125362
"211732_x_at",583.842229995446,208.504917607618,272.204720075319,276.057451694892,112.303981008119,142.51397419955,166.804418710806,166.137758784473,252.893451834097,235.554911535211
"211733_x_at",1357.61670072381,1524.84729182412,1943.54134817664,1179.04657353336,1075.10459599051,986.313086448698,1159.52431158928,1050.39982437621,1237.94860302273,1103.76380469027
"211734_s_at",1482.80352331446,835.113578175595,622.370269202731,984.891040835329,1092.74290810635,969.039508603264,846.105558657903,775.253196417039,1747.02329393777,1772.39531100336
"211735_x_at",21.85177206498,13.9988873569102,20.9826924746966,17.1128630353495,31.2967630721601,23.8202159555318,20.9216049904437,20.8376151886637,16.3096599372659,15.7913053380791
"211736_at",9.80847193209151,52.1330298307545,2.13690606544329,38.2236764919871,7.6884081445509,5.95031557949058,19.5510231972045,8.40766029229809,23.2369671700682,39.2516577918177
"211737_x_at",29.012832184984,72.5727153192666,50.8922742292959,31.2461038556638,69.4231200502369,60.2710627010378,191.241666950038,153.366640220088,60.2474866860492,102.297076429573
"211738_x_at",212.204921880439,165.817420674539,230.580022457312,274.99611813382,194.588800570815,248.403670455409,259.359917439711,295.513879795709,222.71575324722,234.469657366034
"211739_x_at",6.78923129801907,9.25727250742149,5.75446493056695,9.91318464080765,12.2464897411474,9.0417326808349,8.19271879602206,11.2611952252345,5.7568095538584,9.07883710054579
"211740_at",52.8934411502078,71.0698320059156,49.0565599568221,72.2636066299561,90.9828691768742,53.1242357137001,37.2102874322094,84.4516243582979,86.9241959225098,57.5889387548117
"211741_x_at",156.111691097354,56.0115416507172,16.9182956211039,109.175875883855,142.880330244049,137.794056982367,67.4444341155064,148.504407335511,76.2719709737438,85.8458613669929
"211742_s_at",5968.04740368574,4089.82737816243,3864.07917238761,3320.19674302552,2041.5323084249,2041.5537326402,3044.45108047983,2069.82172299836,3445.22964051156,4438.89248106911
"211743_s_at",155.697201418893,348.432692352825,245.867885882286,345.49645350108,548.209098337112,549.352333035384,399.22023879232,355.116714483599,454.01547187339,328.945171948304
"211744_s_at",738.641381831109,881.414072545612,777.138137029545,792.972401983488,556.069364120415,621.961975709109,720.539088318571,538.403223617705,863.161643608709,814.610009035475
"211745_x_at",65473.0874758672,38703.9061892596,49110.3519957848,40281.7277458652,80251.4315547977,74250.7981448752,64940.888114945,75719.6415808811,60676.8320731728,44952.3794648152
"211746_x_at",5707.67648546791,4136.12703711764,3620.82520275474,3808.23683307785,4059.00313694228,3804.69829101225,4606.25750396922,4029.75578273993,3810.10959068445,3751.44864515328
